GEO_ID,StateAbbreviation,State,NewDiagnosesStateRate_2015,NewDiagnosesStateRate_2016,NewDiagnosesStateRate_2017,NewDiagnosesStateRate_2018,NewDiagnosesStateRate_2019,lon,lat
1,AL,Alabama,16,16,16,15,16,-86.8287,32.7794
2,AK,Alaska,4,6,5,4,5,-152.2782,64.0685
4,AZ,Arizona,12,12,12,13,13,-111.6602,34.2744
5,AR,Arkansas,11,13,12,11,11,-92.4426,34.8938
6,CA,California,16,16,15,14,13,-119.4696,37.1841
8,CO,Colorado,8,9,9,8,10,-105.5478,38.9972
9,CT,Connecticut,9,8,9,9,7,-72.7273,41.6219
10,DE,Delaware,13,14,16,11,11,-75.505,38.9896
11,DC,"Washington, D.C.",63,60,53,47,42,-77.0147,38.9101
12,FL,Florida,27,26,25,25,24,-82.4497,28.6305
13,GA,Georgia,31,30,30,28,28,-83.4426,32.6415
15,HI,Hawaii,10,6,6,6,5,-156.3707,20.2927
16,ID,Idaho,3,3,3,3,2,-114.613,44.3509
17,IL,Illinois,14,14,13,13,12,-89.1965,40.0417
18,IN,Indiana,12,9,9,9,9,-86.2816,39.8942
19,IA,Iowa,5,5,5,4,4,-93.496,42.0751
20,KS,Kansas,7,6,5,7,5,-98.3804,38.4937
21,KY,Kentucky,9,9,10,10,9,-85.3021,37.5347
22,LA,Louisiana,28,29,26,25,23,-91.9968,31.0689
23,ME,Maine,4,5,3,3,3,-69.2428,45.3695
24,MD,Maryland,23,22,20,20,18,-76.7909,39.055
25,MA,Massachusetts,10,11,10,11,9,-71.8083,42.2596
26,MI,Michigan,9,9,9,9,8,-85.4102,44.3467
27,MN,Minnesota,7,7,6,6,6,-94.3053,46.2807
28,MS,Mississippi,20,17,17,19,19,-89.6678,32.7364
29,MO,Missouri,9,10,10,9,10,-92.458,38.3566
30,MT,Montana,2,2,4,3,3,-109.6333,47.0527
31,NE,Nebraska,5,5,6,5,5,-99.7951,41.5378
32,NV,Nevada,20,21,20,20,20,-116.6312,39.3289
33,NH,New Hampshire,2,3,3,3,3,-71.5811,43.6805
34,NJ,New Jersey,16,16,15,14,14,-74.6728,40.1907
35,NM,New Mexico,8,8,8,8,9,-106.1126,34.4071
36,NY,New York,18,17,16,15,14,-75.5268,42.9538
37,NC,North Carolina,16,16,15,14,15,-79.3877,35.5557
38,ND,North Dakota,3,7,6,6,6,-100.4659,47.4501
39,OH,Ohio,10,10,10,10,10,-82.7937,40.2862
40,OK,Oklahoma,10,9,9,9,10,-97.4943,35.5889
41,OR,Oregon,7,7,6,7,6,-120.5583,43.9336
42,PA,Pennsylvania,11,10,10,9,9,-77.7996,40.8781
44,RI,Rhode Island,7,8,9,8,8,-71.5562,41.6762
45,SC,South Carolina,16,18,17,17,16,-80.8964,33.9169
46,SD,South Dakota,3,6,6,4,5,-100.2263,44.4443
47,TN,Tennessee,13,13,13,13,13,-86.3505,35.858
48,TX,Texas,20,20,19,19,18,-99.3312,31.4757
49,UT,Utah,5,6,5,5,5,-111.6703,39.3055
50,VT,Vermont,3,1,4,3,2,-72.6658,44.0687
51,VA,Virginia,14,13,12,12,11,-78.8537,37.5215
53,WA,Washington,8,7,7,8,8,-120.4472,47.3826
54,WV,West Virginia,5,4,5,5,10,-80.6227,38.6409
55,WI,Wisconsin,5,5,5,4,4,-89.9941,44.6243
56,WY,Wyoming,4,4,2,3,3,-107.5512,42.9957
